"depth" "PotTemperature" "Salinity" "Station"
-5 2.5691 28.60925 "196"
-10 2.549862 28.756888 "196"
-15 2.2831 29.24395 "196"
-20 1.442975 30.56745 "196"
-30 0.29605 31.647087 "196"
-40 -0.436175 32.123937 "196"
-60 -1.340813 32.5111 "196"
-100 -1.431313 33.021187 "196"
-150 -0.191513 34.380113 "196"
-250 0.508525 34.817975 "196"
-448 NA NA "196"
